PC,z,T,CI,ECN,EstadoRevision,procedencia,confianza,TextoFuente
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA12,0.2,88
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE12,0.2,33
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!Q13,0.2,"66
66
65
64
63
63
62
62
61
61
60
60
60
59
59"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!W13,0.2,"125
123
122
121
120
119
118
118
117
116
116
115
114
114
113
113
112
112
111
111"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AD13,0.2,"85
83
81
79
78
77
76
75
74
73
72
71
70
69
69"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AL13,0.2,"+0,52
+0,50
+0,47
+0,44
+0,41
+0,39
+0,36
+0,33
+0,31
+0,28
+0,25
+0,23
+0,20
+0,18
+0,15"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT13,0.2,55
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA13,0.2,108
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG13,0.2,61
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP13,0.2,"-0,13"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX14,0.2,49
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC14,0.2,98
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG14,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR14,0.2,"-0,84"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV14,0.2,42
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA14,0.2,87
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE14,0.2,32
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT15,0.2,55
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA15,0.2,108
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG15,0.2,61
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP15,0.2,"-0,15"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX15,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC15,0.2,98
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG15,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR15,0.2,"-0,88"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV16,0.2,41
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA16,0.2,87
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE16,0.2,31
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT17,0.2,"55
54
54"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA17,0.2,107
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG17,0.2,60
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP17,0.2,"-0,18"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX17,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC17,0.2,97
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG17,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR17,0.2,"-0,92"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV18,0.2,41
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA18,0.2,86
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE18,0.2,31
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA19,0.2,107
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG19,0.2,59
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP19,0.2,"-0,20"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX19,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC19,0.2,97
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG19,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR19,0.2,"-0,95"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV19,0.2,40
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA19,0.2,86
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE20,0.2,30
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA21,0.2,106
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG21,0.2,59
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP21,0.2,"-0,23"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX21,0.2,48
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC21,0.2,97
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG21,0.2,45
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR21,0.2,"-1,00"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV21,0.2,40
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA21,0.2,85
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE21,0.2,29
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT22,0.2,"54
54
53
53
53
53"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA22,0.2,106
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG22,0.2,58
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP22,0.2,"-0,25"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX22,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC22,0.2,96
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG22,0.2,45
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR22,0.2,"-1,04"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV22,0.2,40
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA22,0.2,84
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE22,0.2,28
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA23,0.2,105
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG23,0.2,58
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP23,0.2,"-0,28"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX23,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC23,0.2,96
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG23,0.2,44
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR23,0.2,"-1,08"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV23,0.2,39
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA23,0.2,84
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE23,0.2,27
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA24,0.2,105
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG24,0.2,57
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP24,0.2,"-0,31"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX24,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC24,0.2,95
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG24,0.2,43
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR24,0.2,"-1,13"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV24,0.2,39
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA24,0.2,83
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE25,0.2,26
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA26,0.2,105
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG26,0.2,57
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP26,0.2,"-0,33"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX26,0.2,47
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC26,0.2,95
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG26,0.2,43
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR26,0.2,"-1,18"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV26,0.2,38
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA26,0.2,82
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE27,0.2,25
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA28,0.2,104
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG28,0.2,56
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP28,0.2,"-0,36"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX28,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC28,0.2,95
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG28,0.2,42
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR28,0.2,"-1,23"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV28,0.2,38
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA28,0.2,82
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE28,0.2,24
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA29,0.2,104
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG29,0.2,55
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP29,0.2,"-0,39"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX29,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC29,0.2,94
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG29,0.2,42
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR29,0.2,"-1,28"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV29,0.2,37
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA29,0.2,81
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE29,0.2,23
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT30,0.2,52
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA30,0.2,103
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG30,0.2,55
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BP30,0.2,"-0,41"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BX30,0.2,46
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CC30,0.2,94
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CG30,0.2,41
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CR30,0.2,"-1,34"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!CV31,0.2,37
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DA31,0.2,80
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!DE31,0.2,22
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!AT32,0.2,"52
52
52"
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BA32,0.2,103
,,,,,PENDIENTE_REVISION_VISUAL,Table 1!BG32,0.2,54
