Tabla,tipo,titulo_detectado,pagina,rango_cronologico,area,escalas_encontradas,registros_extraidos,estado,incidencias
N-29,PD_A_PERCENTIL,"Tabla N-29. Área Adaptativa, conversión de centiles",,,,[],0,LOCALIZADA,"[{'Tabla': 'N-29', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A534', 'TextoFuente': '20\n19\n18\n17\n0-16'}, {'Tabla': 'N-29', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'O534', 'TextoFuente': '28\n27\n26\n25\n24\n0-23'}, {'Tabla': 'N-29', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AE534', 'TextoFuente': '20\n19\n18\n17\n16\n15\n14\n13\n12\n11\n10\n0-9'}, {'Tabla': 'N-29', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BI534', 'TextoFuente': '12\n11\n10\n9\n8\n7\n0-6'}]"
N-30,PD_A_PERCENTIL,"Tabla N-30. Área Motora, conversión en cantiles",,,,[],75,LOCALIZADA,"[{'Tabla': 'N-30', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'O538', 'TextoFuente': '26\n25\n24\n23\n22\n0-21'}, {'Tabla': 'N-30', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CG547', 'TextoFuente': '127\n125-126'}, {'Tabla': 'N-30', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CU547', 'TextoFuente': '90\n88-89'}, {'Tabla': 'N-30', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CG557', 'TextoFuente': '114\n112-113'}, {'Tabla': 'N-30', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BU569', 'TextoFuente': '30\n29\n0-28'}]"
N-31,PD_A_PERCENTIL,"Tabla N-31. Área Comunicación, conversión en cantiles Tabla N-32. Área Cognitiva, conversión en cantiles",,,,[],114,LOCALIZADA,"[{'Tabla': 'N-31', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CV591', 'TextoFuente': '69\n65-68'}]"
N-18,PD_A_PERCENTIL,n-18,,,,[],164,LOCALIZADA,"[{'Tabla': 'N-18', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A323', 'TextoFuente': '20\n19\n18\n17\n16\n15\n14\n0-13'}, {'Tabla': 'N-18', 'tipo': 'DUPLICADO_TITULO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AA596', 'TextoFuente': 'n-18'}]"
N-33,PD_A_PERCENTIL,"1 48-59 MESES 1 Tabla N-33. Área Personal-Social, puntuación centil.",,,,[],130,LOCALIZADA,[]
N-34,PD_A_PERCENTIL,"Tabla N-34. Área Adaptativa, conversión en cantiles",,,,[],0,LOCALIZADA,"[{'Tabla': 'N-34', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A676', 'TextoFuente': '20\n19\n18\n17\n16\n0-15'}, {'Tabla': 'N-34', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'O676', 'TextoFuente': '28\n27\n26\n25\n0-24'}, {'Tabla': 'N-34', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AE676', 'TextoFuente': '20\n19\n18\n17\n0-16'}, {'Tabla': 'N-34', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BI676', 'TextoFuente': '12\n11\n10\n9\n0-8'}]"
N-35,PD_A_PERCENTIL,"Tabla N-35. Área Motora, conversión en cantiles",,,,[],136,LOCALIZADA,"[{'Tabla': 'N-35', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'M680', 'TextoFuente': '26\n25\n24\n23\n0-22'}]"
N-36,PD_A_PERCENTIL,"Tabla N-36. Área Comunicación, conversión en cantiles",,,,[],104,LOCALIZADA,[]
N-37,PD_A_PERCENTIL,"Tabla N-37. Área Cognitiva, conversión en centiles",,,,[],166,LOCALIZADA,[]
N-38,PD_A_PERCENTIL,"Tabla N-38. Área Personal-Social, conversión en centiles",,,,[],0,LOCALIZADA,"[{'Tabla': 'N-38', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'H790', 'TextoFuente': '36\n35\n34\n33\n32\n0-31'}, {'Tabla': 'N-38', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'W790', 'TextoFuente': '24\n23\n22\n21\n0-20'}, {'Tabla': 'N-38', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AL790', 'TextoFuente': '28\n27\n26\n25\n24\n0-23'}, {'Tabla': 'N-38', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BQ790', 'TextoFuente': '20\n19\n18\n17\n16\n15\n14\n13\n12\n11\n10\n9\n8\n7\n0-6'}, {'Tabla': 'N-38', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CF790', 'TextoFuente': '28\n27\n26\n25\n24\n23\n22\n21\n20\n19\n18\n0-17'}]"
N-39,PD_A_PERCENTIL,"Tabla N-39. Área Adaptativa, conversión en cantiles",,,,[],66,LOCALIZADA,"[{'Tabla': 'N-39', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'P797', 'TextoFuente': '26\n0-25'}, {'Tabla': 'N-39', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BK797', 'TextoFuente': '10\n0-9'}, {'Tabla': 'N-39', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A798', 'TextoFuente': '16\n0-15'}]"
N-40,PD_A_PERCENTIL,"•. ·· 1 60-71 MESES ; Tabla N-40. Área Motora, puntuación centil.",,,,[],142,LOCALIZADA,"[{'Tabla': 'N-40', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BC847', 'TextoFuente': '24\n0-23'}]"
N-41,PD_A_PERCENTIL,"Tabla N-41. Área Comunicación, conversión en cantiles Tabla N-42. Área Cognitiva, conversión en cantiles",,,,[],195,LOCALIZADA,"[{'Tabla': 'N-41', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AR867', 'TextoFuente': '20\n19\n18\n17\n0-16'}]"
N-43,PD_A_PERCENTIL,"Tabla N-43. Área Personal-Social, conversión en cantiles",,,,[],58,LOCALIZADA,"[{'Tabla': 'N-43', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AD928', 'TextoFuente': '20\n0-19'}, {'Tabla': 'N-43', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'DA932', 'TextoFuente': '163\n161-162'}]"
N-44,PD_A_PERCENTIL,"Tabla N-44. Área Adaptativa, conversión en centiles",,,,[],38,LOCALIZADA,"[{'Tabla': 'N-44', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A946', 'TextoFuente': '20\n19\n18\n0-17'}, {'Tabla': 'N-44', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'Q946', 'TextoFuente': '28\n27\n0-26'}, {'Tabla': 'N-44', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AI946', 'TextoFuente': '20\n19\n0-18'}]"
N-45,PD_A_PERCENTIL,"72-83 MESES • Tabla N-45. Área Motora, conversión en centiles - - - - - - -",,,,[],29,LOCALIZADA,"[{'Tabla': 'N-45', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'A968', 'TextoFuente': '50\n49\n48\n47\n46\n45\n44\n43\n42\n41\n40\n0-39'}, {'Tabla': 'N-45', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'P968', 'TextoFuente': '26\n25\n0-24'}, {'Tabla': 'N-45', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AG968', 'TextoFuente': '36\n35\n34\n33\n0-32'}, {'Tabla': 'N-45', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AW968', 'TextoFuente': '40\n39\n38\n37\n36\n35\n34\n33\n32\n31\n30\n0-29'}]"
N-46,PD_A_PERCENTIL,"Tabla N-46. Área Comunicación, conversión en centiles Tabla N-47. Área Cognitiva, conversión en centiles",,,,[],89,LOCALIZADA,"[{'Tabla': 'N-46', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BI1030', 'TextoFuente': '17\n0-16'}, {'Tabla': 'N-46', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'M1041', 'TextoFuente': '52\n0-51'}]"
N-48,PD_A_PERCENTIL,":9 84-95 MESES Tabla N-48. Área Personal-Social, conversión en cantiles",,,,[],31,LOCALIZADA,"[{'Tabla': 'N-48', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AD1063', 'TextoFuente': '22\n0-21'}, {'Tabla': 'N-48', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BJ1063', 'TextoFuente': '32\n0-31'}, {'Tabla': 'N-48', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'CO1063', 'TextoFuente': '26\n0-25'}]"
N-49,PD_A_PERCENTIL,"84-95 MESES • Tabla N-49. Área Adaptativa, conversión en cantiles",,,,[],32,LOCALIZADA,[]
N-50,PD_A_PERCENTIL,"Tabla N-50. Área Motora, conversión en centiles",,,,[],65,LOCALIZADA,"[{'Tabla': 'N-50', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'AQ1096', 'TextoFuente': '34\n0-33'}, {'Tabla': 'N-50', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BT1096', 'TextoFuente': '70\n0-69'}]"
N-51,PD_A_PERCENTIL,"84-95 MESES Tabla N-51. Área Comunicación, conversión en centiles",,,,[],0,LOCALIZADA,[]
N-52,PD_A_PERCENTIL,"84-95 MESES Tabla N-52. Área Cognitiva, conversión en centiles",,,,[],1144,LOCALIZADA,"[{'Tabla': 'N-52', 'tipo': 'INTERVALO_PD_INVALIDO', 'HojaFuente': 'Table 1', 'CeldaFuente': 'BM1113', 'TextoFuente': '18\n0-17'}]"
